Participant No,Video,HILML,Time in Sec,Data in Decimal,,,,,,,,,,,,,,,,,
1,CCC,00:07:38,458,0.00530092592592593,,,,,,,,,,,,,,,,,
4,CCC,00:09:06,546,0.00631944444444444,,,,,,,,,,,,,,,,,
5,CCC,00:18:13,1093,0.012650462962963,,,,,,,,,,,,,,,,,
8,CCC,00:21:36,1296,0.015,,,,,,,,,,,,,,,,,
9,CCC,00:31:25,1885,0.0218171296296296,,,,,,,,,,,,,,,,,
11,CCC,00:11:24,684,0.00791666666666667,,,,,,,,,,,,,,,,,
13,CCC,00:17:43,1063,0.0123032407407407,,,,,,,,,,,,,,,,,
16,CCC,00:15:07,907,0.0104976851851852,,,,,,,,,,,,,,,,,
17,CCC,00:16:04,964,0.0111574074074074,,,,,,,,,,,,,,,,,
20,CCC,0h 28m 25s,1705,0.0197337962962963,,,,,,,,,,,,,,,,,
22,CCC,0h 29m 17s,1757,0.0203356481481481,,,,,,,,,,,,,,,,,
2,FPB,00:10:19,619,0.00716435185185185,,,,,,,,,,,,,,,,,
3,FPB,00:47:44,2864,0.0331481481481481,,,,,,,,,,,,,,,,,
6,FPB,00:23:42,1422,0.0164583333333333,,,,,,,,,,,,,,,,,
7,FPB,00:17:59,1079,0.0124884259259259,,,,,,,,,,,,,,,,,
10,FPB,00:16:51,1011,0.0117013888888889,,,,,,,,,,,,,,,,,
12,FPB,00:18:26,1106,0.0128009259259259,,,,,,,,,,,,,,,,,
14,FPB,00:20:17,1217,0.0140856481481481,,,,,,,,,,,,,,,,,
15,FPB,00:22:41,1361,0.0157523148148148,,,,,,,,,,,,,,,,,
18,FPB,00:13:17,797,0.00922453703703704,,,,,,,,,,,,,,,,,
19,FPB,00:36:01,2161,0.0250115740740741,,,,,,,,,,,,,,,,,
21,FPB,00:38:04,2284,0.0264351851851852,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,